**ACTUATORS**
Actuator,ElectricEquipment,Electricity Rate,SPACE5-1 ELECEQ 1,[W]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,MAIN SOUTH OVERHANG,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,MAIN SOUTH OVERHANG,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,Mir-MAIN SOUTH OVERHANG,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,Mir-MAIN SOUTH OVERHANG,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SOUTH DOOR OVERHANG,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SOUTH DOOR OVERHANG,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,Mir-SOUTH DOOR OVERHANG,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,Mir-SOUTH DOOR OVERHANG,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,WALL-1PB,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,WALL-1PB,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,WALL-1PF,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,WALL-1PF,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,WALL-1PL,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,WALL-1PL,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,WALL-1PR,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,WALL-1PR,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C1-1P,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C1-1P,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C2-1P,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C2-1P,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C3-1P,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C3-1P,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C4-1P,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C4-1P,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C5-1P,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C5-1P,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,TOP-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,TOP-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,FRONT-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,FRONT-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB12,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB12,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB14,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB14,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB15,[W/m2-K]
